Exported,,,,,,,
Qty,Value,Device,Package,Parts,Description,Column1,_1
1,,CONN_06SILK_FEMALE_PTH,1X06,J2,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,
3,1.4K[0603],R-US_CHIP-0603(1608-METRIC),RESC1608X60,"R1, R5, R6",Resistor Fixed - ANSI,,
2,100n [0603],C_CHIP-0603(1608-METRIC),CAPC1608X85,"C1, C2",Capacitor - Generic,,
1,AP22814AW5-7,AP22814AW5-7,SOT95P285X130-5N,PS1,"DiodesZetex AP22814AW5-7, USB Power Switch, High Side, 65m, 1.6 V min. 5-Pin, SOT25",,
1,B3F-1000,B3F-1000,B3F-1000,SW1,Tactile Switch SPST-NO Top Actuated Through Hole,,
1,MAX16150AUT+T,MAX16150AUT+T,SOT95P280X145-6N,PB_CTRL,Supervisory Circuits Nano-Power Pushbutton ON/OFF Controller with 15kV ESD Protection and Programmable Timer,,
,,,,,,,
,,,,,,,
Final,,,,,,,
Qty,Value,Device,Package,Parts,Description,Column1,_1
3,1.4 KOhm,Resistor,RES0603,"R1, R5, R6",Resistor Fixed - ANSI,,
2,100 nF,Capacitor,CAP0603,"C1, C2",Capacitor - Generic,,
1,-,AP22814AW5-7,SOT23-5,PS1,High Side Power Switch,,
1,-,B3F-1000,B3F-1000,SW1,Tactile Switch SPST-NO Top Actuated Through Hole,,
1,-,MAX16150AUT+T,SOT23-6,PB_CTRL,Pushbutton ON/OFF Controller,,
